id	city	housenumber	postcode	street	amenity	contact:phone	name	website	opening_hours	Location_id
37777877	Trento	108	38123	Via di Madonna Bianca	bar		Bar Groff			B1
2487319549	Trento	18/E	38122	Via delle Ghiaie	bar		Girasole			B2
428313987					bar		Bar Cadorin			B3
428313991					bar		Bar Centauro			B4
432111591	Trento	4	38122	Via dei Muredei	bar		Bar Prati			B5
432480294	Trento	45	38122	Via Giuseppe Giusti	bar		pausa kaffè			B6
432464291	Trento	134	38122	Via Vittorio Veneto	bar		Bar Florida			B7
432464294	Trento	77	38123	Via Vittorio Veneto	bar		Veneto			B8
563415882					bar		Europa			B9
563436064					bar		Melody 2.0			B10
806380609					bar					B11
563415898					bar		Green Bar			B12
4195070620	Trento	18	38122	Via Gorizia	bar	+39 0461 1975651	Keecomm - The Social Stone	www.thesocialstone.net		B13
4497466477					bar		La Tana del Ghiro			B14
2397156973	Trento	2	38122	Viale della Costituzione	bar		Outside Trento			B15
2578549619	Trento	26	38122	Viale Adriano Olivetti	bar		Urban Coffee Lab			B16
557150199	Trento	43	38122	Corso III Novembre	bar	+39 0461 390696	Osteria della Mal'Ombra			B17
431658702	Trento	56	38122	Via Antonio Rosmini	bar		Bar da Giorgio			B18
431658706					bar		Università			B19
438166682	Trento	18	38122	Via Antonio Rosmini	bar	+39 0461 1821557	Koi Sushi & Bar	https://koi.eatbu.com/?lang=it	Tu-Sa 12:00-15:00,19:00-23:30	B20
557150264	Trento	19	38122	Piazza Santa Maria Maggiore	bar		Cafè Cavour			B21
557197346	Trento	3	38122	Via Don Giovanni Battista Zanella	bar	+39 0461 261197	Bar Ateneo			B22
557197351	Trento	40	38122	Via Giuseppe Verdi	bar	+39 0461 981199	Bar Duomo			B23
557197354	Trento	22	38122	Piazza del Duomo	bar		Te Ke Voi?			B24
563398643	Trento	76	38122	Via Rodolfo Belenzani	bar	+39 0461 986282	Golden Eagle Street Bar			B25
860260433	Trento	75	38122	Via Giuseppe Verdi	bar		Line Cafè			B26
867377482	Trento	40	38122	Via Camillo Benso Cavour	bar		Locanda del Gatto Gordo			B27
867439130	Trento	63	38122	Via Antonio Rosmini	bar		Il Panino			B28
1270294813	Trento	23	38122	Via Tommaso Gar	bar		Fuoricorso			B29
1290442673	Trento	31	38122	Via Giuseppe Verdi	bar	+39 0461 984465	Caffè Verdi			B30
1514580922	Trento	71	38122	Via Giuseppe Verdi	bar		Vinom			B31
2397157018	Trento	3	38122	Corso del Lavoro e della Scienza	bar	+39 0461 270311	MUSE Cafè			B32
2472335039	Trento	8	38122	Via Don Giovanni Battista Zanella	bar	+39 0461 439362	Pappare' Trento	https://www.pappa-reale.it/pappare-trento/	Mo-Sa 08:00-21:00; Su 09:00-21:00	B33
268440174	Trento	18	38122	Largo Giosuè Carducci	bar	+39 0461 234701	Caffé Randrè			B34
439912454	Trento	11	38122	Piazza di Fiera	bar		Baccus		Tu-Su 00:00-01:00,07:30-24:00	B35
563752837	Trento	28	38122	Via Oriola	bar		La Bella Vita			B36
570818497					bar		City Bar			B37
867438536	Trento	59	38122	Via Santa Croce	bar	+39 0461 095329	Soul Bar			B38
892578902	Trento	11	38122	Via Giuseppe Mazzini	bar		Il Monello			B39
914013846	Trento	13	38122	Piazza Venezia	bar		Snai Bar			B40
1503398641	Trento	38	38122	Largo Giosuè Carducci	bar	+39 0461 1740400	Plan			B41
1651682414	Trento	4	38122	Via Calepina	bar	+39 0461 236197	Fiorentina	https://www.fiorentinatrento.it/	Mo-Sa 07:00-23:00	B42
3164166969					bar		Il Mercatino			B43
557150072	Trento	34	38122	Via San Giovanni	bar		Cafè Corner Bianco			B44
557169191	Trento	6	38122	Vicolo Colico	bar		Accademia		Mo-Su 07:30-23:00	B45
874501397	Trento	72	38122	Via Prepositura	bar		Bar Nuovo Paradiso		Mo-Sa 18:00-01:00; Su off	B46
557150023	Trento	7	38122	Via delle Orne	bar		Bar TJ			B47
563754461	Trento	3	38122	Via Santa Maria Maddalena	bar		Le Note Cafè			B48
