id,city,housenumber,postcode,street,phone_number,cuisine,name,website,opening_hours,wheelchair,smoking,brewery,Location_id,amenity
37777877,Trento,108,38123,Via di Madonna Bianca,,,Bar Groff,,,,,,B1,Bar
2487319549,Trento,18/E,38122,Via delle Ghiaie,,,Girasole,,,,,,B2,Bar
428313987,,,,,,,Bar Cadorin,,,,,,B3,Bar
428313991,,,,,,,Bar Centauro,,,,,,B4,Bar
432111591,Trento,4,38122,Via dei Muredei,,,Bar Prati,,,,,,B5,Bar
432480294,Trento,45,38122,Via Giuseppe Giusti,,,pausa kaffè,,,,,,B6,Bar
432464291,Trento,134,38122,Via Vittorio Veneto,,,Bar Florida,,,yes,,,B7,Bar
432464294,Trento,77,38123,Via Vittorio Veneto,,,Veneto,,,,,,B8,Bar
563415882,,,,,,,Europa,,,,,,B9,Bar
563436064,,,,,,,Melody 2.0,,,,,,B10,Bar
806380609,,,,,,,,,,,,,B11,Bar
563415898,,,,,,,Green Bar,,,,,,B12,Bar
4195070620,Trento,18,38122,Via Gorizia,+39 0461 1975651,italian,Keecomm - The Social Stone,www.thesocialstone.net,,,no,,B13,Bar
4497466477,,,,,,,La Tana del Ghiro,,,,,,B14,Bar
2397156973,Trento,2,38122,Viale della Costituzione,,,Outside Trento,,,,,,B15,Bar
2578549619,Trento,26,38122,Viale Adriano Olivetti,,,Urban Coffee Lab,,,,,,B16,Bar
557150199,Trento,43,38122,Corso III Novembre,+39 0461 390696,,Osteria della Mal'Ombra,,,,,,B17,Bar
431658702,Trento,56,38122,Via Antonio Rosmini,,,Bar da Giorgio,,,,,,B18,Bar
431658706,,,,,,,Università,,,,,,B19,Bar
438166682,Trento,18,38122,Via Antonio Rosmini,+39 0461 1821557,,Koi Sushi & Bar,https://koi.eatbu.com/?lang=it,"Tu-Sa 12:00-15:00,19:00-23:30",,,,B20,Bar
557150264,Trento,19,38122,Piazza Santa Maria Maggiore,,,Cafè Cavour,,,,,,B21,Bar
557197346,Trento,3,38122,Via Don Giovanni Battista Zanella,+39 0461 261197,,Bar Ateneo,,,,,,B22,Bar
557197351,Trento,40,38122,Via Giuseppe Verdi,+39 0461 981199,,Bar Duomo,,,,,,B23,Bar
557197354,Trento,22,38122,Piazza del Duomo,,,Te Ke Voi?,,,,,,B24,Bar
563398643,Trento,76,38122,Via Rodolfo Belenzani,+39 0461 986282,,Golden Eagle Street Bar,,,,,,B25,Bar
860260433,Trento,75,38122,Via Giuseppe Verdi,,,Line Cafè,,,,,,B26,Bar
867377482,Trento,40,38122,Via Camillo Benso Cavour,,,Locanda del Gatto Gordo,,,,,,B27,Bar
867439130,Trento,63,38122,Via Antonio Rosmini,,,Il Panino,,,,,,B28,Bar
1270294813,Trento,23,38122,Via Tommaso Gar,,,Fuoricorso,,,,,,B29,Bar
1290442673,Trento,31,38122,Via Giuseppe Verdi,+39 0461 984465,,Caffè Verdi,,,,,,B30,Bar
1514580922,Trento,71,38122,Via Giuseppe Verdi,,,Vinom,,,,,,B31,Bar
2397157018,Trento,3,38122,Corso del Lavoro e della Scienza,+39 0461 270311,,MUSE Cafè,,,,,,B32,Bar
2472335039,Trento,8,38122,Via Don Giovanni Battista Zanella,+39 0461 439362,,Pappare' Trento,https://www.pappa-reale.it/pappare-trento/,Mo-Sa 08:00-21:00; Su 09:00-21:00,,,,B33,Bar
268440174,Trento,18,38122,Largo Giosuè Carducci,+39 0461 234701,,Caffé Randrè,,,,,,B34,Bar
439912454,Trento,11,38122,Piazza di Fiera,,,Baccus,,"Tu-Su 00:00-01:00,07:30-24:00",yes,,,B35,Bar
563752837,Trento,28,38122,Via Oriola,,,La Bella Vita,,,,,,B36,Bar
570818497,,,,,,,City Bar,,,,,,B37,Bar
867438536,Trento,59,38122,Via Santa Croce,+39 0461 095329,,Soul Bar,,,,,,B38,Bar
892578902,Trento,11,38122,Via Giuseppe Mazzini,,,Il Monello,,,,,,B39,Bar
914013846,Trento,13,38122,Piazza Venezia,,,Snai Bar,,,,,,B40,Bar
1503398641,Trento,38,38122,Largo Giosuè Carducci,+39 0461 1740400,,Plan,,,yes,outside,,B41,Bar
1651682414,Trento,4,38122,Via Calepina,+39 0461 236197,,Fiorentina,https://www.fiorentinatrento.it/,Mo-Sa 07:00-23:00,yes,,Weltenburger Kloster Bier,B42,Bar
3164166969,,,,,,,Il Mercatino,,,,,,B43,Bar
557150072,Trento,34,38122,Via San Giovanni,,,Cafè Corner Bianco,,,,,,B44,Bar
557169191,Trento,6,38122,Vicolo Colico,,,Accademia,,Mo-Su 07:30-23:00,,,,B45,Bar
874501397,Trento,72,38122,Via Prepositura,,,Bar Nuovo Paradiso,,Mo-Sa 18:00-01:00; Su off,yes,outside,,B46,Bar
557150023,Trento,7,38122,Via delle Orne,,,Bar TJ,,,limited,,,B47,Bar
563754461,Trento,3,38122,Via Santa Maria Maddalena,,,Le Note Cafè,,,yes,,,B48,Bar
880590945,Trento,15,38122,Via Paolo Oss Mazzurana,+39 0461 230070,,Bar Teatro,,,,,,B49,Bar
1523162586,Trento,9,38122,Via degli Orbi,,,La Corte,,,,,,B50,Bar
432473110,,,,,,,,,,,,,B51,Bar
544348558,,,,,,,,,,,,,B52,Bar
544348559,,,,,,,,,,,,,B53,Bar
853801053,,,,,,,Edy Bar,,,,,,B54,Bar
853801604,,,,,,,,,,,,,B55,Bar
853802199,,,,,,,,,,,,,B56,Bar
1264896532,Trento,59,38122,Via Milano,,,Bar Style,,,,,,B57,Bar
431632342,Trento,1,38121,Lungadige Monte Grappa,,,Bar Funivia 2.0,,Tu-Su 07:30-22:00,,,,B58,Bar
431632344,,,,,,,ENI,,Mo-Fr 07:30-19:00,,,,B59,Bar
1326513297,Trento,2,38122,Via Torre Vanga,+39 0461 231728,,Joyce,http://www.joycetrento.com/,,,,,B60,Bar
430690364,Trento,10,38122,Piazza Cesare Battisti,+39 0461 230265,,Caffè Città,,,,,,B61,Bar
474558106,Trento,4,38122,Via Torre Verde,,,Bar Galasso,,,,,,B62,Bar
558628474,Trento,83,38122,Via del Suffragio,,,Suite Café,,,,,,B63,Bar
858394165,Trento,38,38122,Piazza Venezia,,,Barycentro,,,,,,B64,Bar
1366801129,Trento,8,38122,Via San Marco,,,Bar La vie en rose,,,,,,B65,Bar
4815875503,,,,,,,Aquila Basket,,,,,,B66,Bar
867377187,Trento,1,38122,Piazza Dante,,,Bar Stazione Buffet Trento,,,,,,B67,Bar
867377209,Trento,2,38122,Via Dogana,+39 0461 239398,,Bar Trento-Malé,,,,,,B68,Bar
4849403999,Trento,43,38122,Corso Michelangelo Buonarroti,,,Old Liberty Cafè,,,,,,B69,Bar
475083135,Trento,27,38122,Via Giovanni Segantini,,,Eurocafè,,,,,,B70,Bar
584849651,Trento,3,38122,Passaggio Silvio Dorigoni,,,Al Porteghet,,Mo-Fr 07:00-21:30; Sa 08:00-21:30,limited,,,B71,Bar
