Id	city	phone_number	website	service	price	type
CC1	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it	Campo basket/volley		Camping
CC2	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it	Tennis tavolo - ping pong		Camping
CC3	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it	Minigolf		Camping
CC4	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it	Campo tennis		Camping
CC5	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it	Campo bocce		Camping
CC6	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it			Camping
CC7	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it		1300	Camping
CC8	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it		0	Camping
CC9	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it		0	Camping
CC10	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it		8000	Camping
CC11	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it		4500	Camping
CC12	NAGO-TORBOLE	0464-505222	www.camping-al-cor.it		6000	Camping
CC13	RIVA DEL GARDA	0464-553186	www.campingallago.com			Camping
CC14	RIVA DEL GARDA	0464-553186	www.campingallago.com			Camping
CC15	RIVA DEL GARDA	0464-553186	www.campingallago.com		1200	Camping
CC16	RIVA DEL GARDA	0464-553186	www.campingallago.com		0	Camping
CC17	RIVA DEL GARDA	0464-553186	www.campingallago.com			Camping
CC18	RIVA DEL GARDA	0464-553186	www.campingallago.com			Camping
CC19	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it	Campo basket/volley		Camping
CC20	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it	Tennis tavolo - ping pong		Camping
CC21	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it	Baby room attrezzata		Camping
CC22	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it			Camping
CC23	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it		0	Camping
CC24	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it		0	Camping
CC25	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it		0	Camping
CC26	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it			Camping
CC27	MOLINA DI LEDRO	347-8664991	www.bestledrocamping.it			Camping
CC28	TORCEGNO	0461-766129		Tennis tavolo - ping pong		Camping
CC29	TORCEGNO	0461-766129		Biliardo		Camping
CC30	TORCEGNO	0461-766129		Postazione di lavoro internet		Camping
CC31	TORCEGNO	0461-766129				Camping
CC32	TORCEGNO	0461-766129			600	Camping
CC33	TORCEGNO	0461-766129			0	Camping
CC34	PIEVE DI LEDRO	0464-591250	www.camping-al-lago.it	Tennis tavolo - ping pong		Camping
CC35	PIEVE DI LEDRO	0464-591250	www.camping-al-lago.it	Postazione di lavoro internet		Camping
CC36	PIEVE DI LEDRO	0464-591250	www.camping-al-lago.it			Camping
