id	city	housenumber	postcode	street	phone_number	cuisine	name	takeaway	website	opening_hours	delivery	Location_id	amenity
37793331	Trento	5	38123	Via di Madonna Bianca	+39 0461 390416	burger	McDonald's	yes				F1	fastfood
3148725809	Trento	2	38123	Via Lidorno	+39 0461 1740223	burger	Bici Grill Trento	IT02237640228	https://www.facebook.com/pages/Bici-Grill-Trento/	Mo-Su 08:00-24:00		F2	fastfood
4233651088												F3	fastfood
2112857580	Trento	3	38122	Largo Eugenio Prati		pizza;kebab	Pizzeria Bella Napoli	IT02338380229				F4	fastfood
2487319550	Trento	18/B	38122	Via delle Ghiaie		pizza	Pedro Pizza	yes	http://www.pedropizza.it	Mo-Fr 11:00-14:00,18:00-22:00; Sa-Su 18:00-22:00	yes	F5	fastfood
893551341	Trento	8		Via Aosta		pizza;kebab	Pizza Snack					F6	fastfood
2185765240	Trento	3	38123	Viale Verona	+39 0461 1592422	kebab;pizza	Cavalleggeri	yes		Mo-Su 10:00-22:00	yes	F7	fastfood
2344162326	Trento	93	38122	Via Giacomo Matteotti		pizza	Pizza Rimi	yes				F8	fastfood
3123756891	Trento	104	38122	Via Vittorio Veneto		fried_food; pizza	Portami Via	only		Mo 11:00-14:00; Tu-Su 18:00-21:30		F9	fastfood
643873322	Trento	5	38122	Via Gorizia	+39 0461 931663	kebab;pizza	Pizzeria Bella Italia	IT02377600222	http://bellaitalia-trento.it	Mo-Su 11:00-14:30,17:30-22:30		F10	fastfood
2197903908	Trento	53	38122	Via dei Mille			Bar dei Mille					F11	fastfood
557150099	Trento	1	38122	Via Camillo Benso Cavour		pizza	San Michele Pizza	IT02059920229				F12	fastfood
557150130	Trento	22	38122	Via Camillo Benso Cavour	+39 0461 233753	pizza	Pizza Cavour	IT02131170223		Mo-Sa 11:00-23:00		F13	fastfood
557197349	Trento	13	38122	Piazza Adamo D'Arogno		pizza	5 Sensi					F14	fastfood
976794057	Trento	66	38122	Via Rodolfo Belenzani		kebab;pizza	Friendly	IT02172670222				F15	fastfood
991704167	Trento	36	38122	Via Camillo Benso Cavour	+39 0461 1482485	pizza;flat bread	IBRIS - focacce e pizze					F16	fastfood
1005689732	Trento	9	38122	Via senatore Carlo Esterle		pizza	Graziano's			Mo-Fr 11:00-21:00;Sa 16:00-21:00		F17	fastfood
1005689764	Trento	8	38122	Via senatore Carlo Esterle		kebab	Kebab Duomo	IT02249310224			yes	F18	fastfood
1129326730	Trento	43	38122	Via Rodolfo Belenzani		burger	Subway		http://w.subway.com/en-IT/			F19	fastfood
1131515113	Trento	15	38122	Via Camillo Benso Cavour			Pak Pizza & Doner Kebab					F20	fastfood
1521825496	Trento	7	38122	Vicolo Benassuti			Focacceria Belvedere					F21	fastfood
3697409370	Trento	42	38122	Via Giovanni Prati			Bottega della Piada					F22	fastfood
6830933540							Mordi & Fuggi					F23	fastfood
877620835	Trento	42	38122	Via Santa Croce	+39 0461 985263		Capatoast	IT02444110221	http://capatoast.it/trento.html			F24	fastfood
1005713356	Trento	68	38122	Via del Travai		kebab;pizza	Max					F25	fastfood
1152984020	Trento	55	38122	Largo Giosuè Carducci			Il posto di Ste					F26	fastfood
1167979632	Trento	02-Jan	38122	Via 24 Maggio 1915			L'angolo dello Sfizio	IT02182480224				F27	fastfood
1220020603	Trento	9	38122	Via Santissima Trinitá		regional	Ai Castelli Romani					F28	fastfood
1313709067	Trento	1	38122	Vicolo delle Rogge	+39 329 8597519		PiadinAmore					F29	fastfood
1478989830	Trento	46	38122	Via cardinale Cristoforo Madruzzo		kebab	La Goulette					F30	fastfood
1503398796	Trento	31	38122	Largo Giosuè Carducci			Pizza Chef					F31	fastfood
1523132849	Trento	24	38122	Largo Giosuè Carducci			Oblò Street Food					F32	fastfood
5333845155	Trento	22	38122	Via Roggia Grande		fish_and_chips	Patatrak	IT02383460223				F33	fastfood
557150055	Trento	11	38122	Piazza della Portella		burger	Piadineria L'angolo tondo	IT01893350221		Mo-Fr 11:30-14:30; Sa,Su fixme		F34	fastfood
1687733877	Trento	7	38122	Via Prepositura	+39 0461 093321	pakistan; indian; pizza	Break Point	IT02374280226			yes	F35	fastfood
2467487009	Trento	36/1	38122	Via San Giovanni		pizza	Pizzopolis					F36	fastfood
1523162587	Trento	17/A	38122	Via degli Orbi			Tigella Bella					F37	fastfood
853802391	Trento	68	38122	Via Giuseppe Grazioli		japanese;chinese;thai	Ni Hao	yes		Mo-Su 11:00-14:30,17:30-22:00	yes	F38	fastfood
853803032	Trento	1	38122	Via Benedetto Giovanelli			Fast Food					F39	fastfood
1264896580	Trento	24	38122	Via San Bernardino	+39 0461 262095	pizza	Pizza & Pizza	IT02144260227	http://pizzaepizza.altervista.org	Mo-Fr 11:30-14:30,18:00-22:00; Sa,Su 18:00-22:00		F40	fastfood
5105133056						pizza	Mamma mia	yes				F41	fastfood
73263491	Trento		38122	Piazza Alessandro Vittoria			Gusto Giusto					F42	fastfood
74199071						kebab	Bari Chicken Grill			Mo-Th 11:00-01:30, Fr,Sa 11:00-04:00		F43	fastfood
75356278		2/A	38122	Via San Francesco d'Assisi		sandwich	Kebab Venezia	IT02265010229	Muhammad Waquas	Su 15:00-22:30; Mo-Sa 10:30-22:30		F44	fastfood
