id	postcode	city	number_of_bed	number_of_room	email	phone	website	type_boarding	description_service	stars	accommodation category	price	type
H1	38056	LEVICO TERME	49	23	info@hotelcristallo.trentino.it	0461-706427	www.hotelaaritztrentino.it	breakfast	lift to all floors				Hotel
H2	38056	LEVICO TERME	49	23	info@hotelcristallo.trentino.it	0461-706427	www.hotelaaritztrentino.it	breakfast	Parking(secured for at least 50% of the housing units)				Hotel
H3	38056	LEVICO TERME	49	23	info@hotelcristallo.trentino.it	0461-706427	www.hotelaaritztrentino.it	breakfast	TV in all bedrooms				Hotel
H4	38056	LEVICO TERME	49	23	info@hotelcristallo.trentino.it	0461-706427	www.hotelaaritztrentino.it	breakfast	telephone in all rooms				Hotel
H5	38056	LEVICO TERME	49	23	info@hotelcristallo.trentino.it	0461-706427	www.hotelaaritztrentino.it	breakfast		3	room-with-bathroom	16000	Hotel
H6	38056	LEVICO TERME	49	23	info@hotelcristallo.trentino.it	0461-706427	www.hotelaaritztrentino.it	breakfast		3	room-with-bathroom	19000	Hotel
H7	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board	lift to all floors				Hotel
H8	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board	Terrace or garden solarium				Hotel
H9	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board	Parking(secured for at least 50% of the housing units)				Hotel
H10	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board	TV in all bedrooms				Hotel
H11	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board	telephone in all rooms				Hotel
H12	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3		10500	Hotel
H13	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	room-with-bathroom	17200	Hotel
H14	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	room-with-bathroom	25000	Hotel
H15	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	room-with-bathroom		Hotel
H16	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	biroom-with-bathroom		Hotel
H17	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	biroom-with-bathroom		Hotel
H18	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	biroom-with-bathroom		Hotel
H19	38010	ANDALO	86	36	info@hotelabetebianco.it	0461-589127	www.hotelabetebianco.it	full-board		3	biroom-with-bathroom	37200	Hotel
H20	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast	lift to all floors				Hotel
H21	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast	Air conditioning in at least 80% of the housing units				Hotel
H22	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast	Terrace or garden solarium				Hotel
H23	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast	TV in all bedrooms				Hotel
H24	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast	telephone in all rooms				Hotel
H25	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast	Air conditioning in the restaurant and bar				Hotel
H26	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	jr-suite		Hotel
H27	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	jr-suite	0	Hotel
H28	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	jr-suite		Hotel
H29	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	jr-suite		Hotel
H30	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	room-with-bathroom	13700	Hotel
H31	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	room-with-bathroom	27000	Hotel
H32	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	room-with-bathroom	30000	Hotel
H33	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	room-with-bathroom		Hotel
H34	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	biroom-with-bathroom		Hotel
H35	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	biroom-with-bathroom		Hotel
H36	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	biroom-with-bathroom		Hotel
H37	38100	TRENTO	78	40	info@accademiahotel.it	0461-233600	www.accademiahotel.it	breakfast		4	biroom-with-bathroom	30000	Hotel
H38	38010	ANDALO	132	77	info@negritella.it	0461-585802	www.negritella.it	full-board	lift to all floors				Hotel
H39	38010	ANDALO	132	77	info@negritella.it	0461-585802	www.negritella.it	full-board	Terrace or garden solarium				Hotel
H40	38010	ANDALO	132	77	info@negritella.it	0461-585802	www.negritella.it	full-board	Parking(secured for at least 50% of the housing units)				Hotel
H41	38010	ANDALO	132	77	info@negritella.it	0461-585802	www.negritella.it	full-board	TV in all bedrooms				Hotel
H42	38010	ANDALO	132	77	info@negritella.it	0461-585802	www.negritella.it	full-board	telephone in all rooms				Hotel
