Location_id	latitude	longitude
G1	46.43409	11.10201
G2	46.23199	10.82732
G3	46.22332	10.82495
G4	46.1582	10.76663
G5	46.4356	11.10347
G6	46.43385	11.10411
G7	46.43341	11.1035
G8	46.31673	10.76729
G9	46.22148	11.2916
G10	45.89935	10.83322
G11	46.46801	11.78011
G12	46.36755	11.07834
G13	46.22617	10.82942
G14	46.42097	11.67438
G15	46.31505	10.80425
G16	46.25707	10.58601
G17	46.3767	11.66079
G18	46.36243	10.67768
G19	46.31381	10.80984
G20	46.31828	10.8017
G21	46.32615	10.86368
G22	46.32638	10.86481
G23	46.47632	11.7408
G24	46.30099	11.44472
G25	46.47606	11.74077
G26	46.47539	11.74081
G27	45.91844	10.87732
G28	45.90357	10.72064
G29	46.36251	11.07511
G30	46.07468	11.12953
G31	46.33738	11.11581
G32	46.33577	11.11657
G33	45.87014	10.87528
G34	45.91581	11.05979
G35	45.87318	10.87745
G36	45.91566	11.06121
G37	46.46206	11.78383
G38	46.42297	11.1499
G39	45.90495	11.17409
G40	46.32284	10.87951
G41	46.43552	11.10255
G42	45.8761	10.875
G43	45.89949	10.86839
G44	45.87535	10.87728
G45	46.15313	11.80584
G46	45.9207	10.88551
G47	46.28856	11.56757
G48	46.26235	10.58653
G49	46.18552	11.24077
G50	45.88733	10.8441
G51	46.47743	11.76792
G52	46.47743	11.76792
G53	45.88623	10.84987
G54	46.24345	10.83838
G55	46.133	11.24282
G56	46.13279	11.24109
G57	46.3061	10.82512
G58	46.47743	11.76792
G59	46.47743	11.76792
G60	46.4746	11.77376
G61	46.31539	10.79631
G62	46.42147	11.67543
G63	46.31753	10.79471
G64	46.31705	10.7955
G65	45.88965	10.86301
G66	46.21334	10.82452
G67	46.29906	10.86499
G68	46.30611	10.73971
G69	46.20718	10.81307
G70	46.33685	11.11683
G71	46.43451	11.68937
G72	45.93653	11.276
G73	46.43504	11.69083
G74	46.43553	11.03145
G75	46.32814	10.85787
G76	46.46217	11.71241
G77	46.43451	11.02898
G78	46.0426	11.31441
G79	46.3746	11.66017
G80	46.25201	11.79876
G81	46.03676	10.87569
G82	45.88627	10.73009
G83	46.15251	11.80443
G84	45.89932	10.72332
G85	46.14234	10.96026
G86	46.06785	10.8942
G87	46.19268	10.78903
G88	46.03561	10.87102
G89	46.04993	11.40637
G90	46.03416	10.89278
G91	46.24382	10.83683
G92	46.01444	10.86758
G93	46.24532	10.83646
G94	45.89014	10.94942
G95	46.28303	11.43695
G96	46.45594	11.79569
G97	46.45794	11.70125
G98	45.90515	11.17159
G99	46.35155	10.90202
G100	46.435	11.10135
G101	45.91934	10.89187
G102	46.36455	10.6726
G103	45.89634	10.84905
G104	46.16751	11.00073
G105	45.91118	10.72567
G106	45.91092	10.72777
G107	45.96279	10.91495
G108	46.03277	11.22667
G109	46.30035	11.50398
G110	46.07767	11.11727
G111	45.93742	11.27531
G112	46.12066	10.76233
G113	46.28684	11.5584
G114	45.99484	11.21649
G115	46.34922	11.0889
G116	46.18191	11.84093
G117	46.00759	10.85066
G118	46.2978	11.46165
G119	46.43105	11.69578
G120	46.43105	11.69578
G121	46.24611	10.84623
G122	45.86562	10.80793
G123	45.88485	10.83887
G124	45.89898	10.84386
G125	45.86653	10.78731
G126	45.96243	10.91704
G127	46.1661	10.75922
G128	46.34059	11.12722
G129	46.45816	11.699
G130	46.31514	11.65922
G131	46.30814	10.75813
G132	46.36634	11.0343
G133	46.29752	10.81372
G134	45.88814	10.84253
G135	45.90258	11.16522
G136	45.8861	10.95024
G137	46.3485	11.62816
G138	46.30032	11.50391
G139	46.18575	11.24048
G140	46.41904	11.20494
G141	46.0356	10.7233
G142	45.88527	10.8398
G143	45.80222	10.95453
G144	45.87204	10.87422
G145	45.887001	10.843055
G146	46.03685	10.72482
G147	45.88628	10.84372
G148	46.30038	10.81284
G149	46.3187	10.80077
G150	45.80192	10.95484
G151	46.45648	11.79887
G152	46.45812	11.78736
G153	45.88051	10.85565
G154	45.88051	10.85567
G155	45.88048	10.85546
G156	45.88049	10.85557
G157	46.42704	11.69671
G158	45.99435	10.97356
G159	46.29175	11.5095
G160	46.20513	10.81497
G161	46.42138	11.6759
G162	45.88558	10.84049
G163	45.88558	10.8405
G164	46.42106	11.67486
G165	45.91934	10.89187
G166	45.91934	10.89187
G167	45.89183	11.18908
G168	46.45842	11.78949
G169	46.16275	11.00964
G170	46.42002	11.674
G171	46.14642	10.96468
G172	46.43427	11.68929
G173	46.13489	11.24468
G174	46.30396	10.81068
G175	45.88594	10.72995
G176	45.89934	10.72339
G177	45.90472	10.72826
G178	46.23074	10.83079
G179	46.30456	10.73756
G180	45.88558	10.8405
G181	45.92003	10.83105
G182	46.18886	11.83238
G183	46.37807	11.66051
