id,city,housenumber,postcode,street,contact:email,phone_number,cuisine,name,outdoor_seating,takeaway,website,opening_hours,wheelchair,delivery,smoking,internet_access,diet_vegan,brewery,Location_ID,amenity
3101758142,Trento,6,38123,Via dei Marinai d'Italia,info@almarinaio.eu,+39 0461 933053,italian,L'Altro,Groff Giovanni S.R.L.,IT01143870226,http://www.almarinaio.eu,24-Jul,,,,,,,R1,restaurant
4233651058,Trento,30,38123,Via dei Marinai d'Italia,isotta@risto3.it,+39 0461 1734471,,Self Isotta,,,http://www.risto3.it/ristoranti-self/trento/isotta,"Mo-Su,PH 00:00-24:00",,,,,,,R2,restaurant
6953660212,Trento,45,38123,Via Stella di Man,,,,Tentazioni,,,,,,,,,,,R3,restaurant
431475183,Trento,16,38123,Piazzale Europa,,,indian;italian;pizza,La Terrazza,,,,"Mo-Su 11:30-14:30,17:30-23:30",yes,,,,,,R4,restaurant
890516959,Trento,57,38122,Via Fratelli Perini,,+39 0461 392394,regional;fish,Happy Hour,,,http://ristorantehappyhour.blogspot.it/,Tu-Sa 07:00-00:00; Su 07:00-20:00,,,,,,,R5,restaurant
1477270680,Trento,29,38122,Via San Pio X,,+39 0461 092843,italian;pizza,Aroma,,yes,https://www.facebook.com/Ristorante-Pizzeria-Aroma-Trento-358155874726541/,Mo-Sa 06:30-23:00,,,,,,,R6,restaurant
3737813836,Trento,15,38123,Piazza delle Donne lavoratrici,,,american,Old Wild West,yes,yes,http://www.oldwildwest.com/,,,,,,,,R7,restaurant
3833840613,Trento,6,38122,Via Fratelli Perini,,+39 0461 091605,,Mister Pizza Caffè,,IT02303280222,,,,,,,,,R8,restaurant
428644278,Trento,62,38122,Via Gocciadoro,,,italian,Ristorante Loto S.r.l.,,,,,,,separated,,,,R9,restaurant
430531035,Trento,73,38123,Viale Verona,,+39 0461 910076,pizza,Blue Sax,,IT00668940224,,Su Off,,,,,,,R10,restaurant
431648975,Trento,39/4,38123,Via Roberto da Sanseverino,sapori.mediterranei@hotmail.it,+39 0461 984360,fish;pizza;barbecue,Sapori Mediterranei,,,,"Tu-Su 12:00-14:30,19:00-23:30",,,,,,,R11,restaurant
1290442756,Trento,7,38122,Piazza Ezio Mosna,,,japanese,Yoisushi,,,,,,,,,,,R12,restaurant
2397156968,Trento,8,38122,Corso del Lavoro e della Scienza,,+39 0461 038998,,Le Albere Cafè,yes,IT03661000269,,"Tu-Su 07:00-20:30, Mo 07:00-15:00",,,,,,,R13,restaurant
867439213,Trento,29,38122,Corso III Novembre,,+39 0461 524634,japanese,Fujiyama,Chen Jie & C Snc,IT02567000225,,,,,,,,,R14,restaurant
1264896565,Trento,80,38122,Via Milano,,,italian,Al Gusto,La cucina di Corrado,,,,,,,,,,R15,restaurant
431658690,Trento,15/B,38122,Via Giuseppe Verdi,,+39 0461 231712,pizza,Pizzeria da Albert,yes,,https://www.facebook.com/PizzeriaDaAlbert/,,,,,,,,R16,restaurant
431658709,Trento,1,38122,Via degli Orti,info@tetleyspub.it,+39 0461 233477,,Pizzeria Tetley's,yes,yes,www.tetleyspub.it,"Mo-Su 18:00-24:00; Th 07:00-14:00,18:00-24:00",,,,,,,R17,restaurant
463189395,Trento,1,38122,Piazza Santa Teresa Verzeri,info@aivicoli.it,+39 0461 260673,,Ai Vicoli,yes,,http://www.aivicoli.it/,Su Off,,,,,,,R18,restaurant
557150278,,,,,,+39 0461 261792,regional;pizza,Rosa D'Oro,yes,,,"Mo-Sa 12:00-14:30,19:00-24:00",,,,,,,R19,restaurant
557197347,Trento,11-Jan,38122,Via Don Giovanni Battista Zanella,,+39 0461 234435,chinese;japanese;thai,Orient,,IT01713660221,http://www.ristoranteorient.it,,no,,,,,,R20,restaurant
557197352,Trento,77,38122,Via Giuseppe Verdi,,+39 0461 237209,pizza,Al Duomo,yes,,,,,,,,,,R21,restaurant
811087041,Trento,11,38122,Via Don Arcangelo Rizzi,info@leduespade.com,+39 0461 234343,,Le due spade,yes,,http://www.leduespade.com,,,,,,,,R22,restaurant
865298453,Trento,29,38122,Piazza del Duomo,,+39 0461 220030,,Scrigno Del Duomo,yes,IT01671580221,http://www.scrignodelduomo.com/,,limited,,,,,,R23,restaurant
877620681,Trento,19,38122,Via Antonio Rosmini,ilsimposiotrento@gmail.com,+39 0461 261848,,Il Simposio,,,http://www.ilsimposio.net,"Tu-Fr,Su 18:00-01:00; Fr,Sa 18:00-02:00",,+39 348 3132160,,,,,R24,restaurant
1211136673,Trento,34,38122,Piazza Santa Maria Maggiore,info@tastiko.it,,,Tàstiko,yes,yes,http://www.tastiko.it/,,,,,,,,R25,restaurant
2578549625,Trento,3,38122,Viale Adriano Olivetti,,,japanese,Shi's,yes,yes,,,,yes,,,,,R26,restaurant
8232536591,Trento,19,38122,Via Giuseppe Verdi,trento@waikikipoke.it,+39 0461 141 7506,,Waikiki Poké Trento,yes,yes,http://www.waikikipoke.it/,,,,,,,,R27,restaurant
268430904,Trento,8,38122,Via Roggia Grande,info@oldbar.it,+39 0461 263263,,Old Bar & Food,,IT01307790228,http://www.oldbar.it,"Mo-Sa 10:00-16:00,18:00-24:00",,,,,,,R28,restaurant
268432521,Trento,10,38122,Via Santissima Trinitá,,,,Trattoria Al Tino,,,,,,,,,,,R29,restaurant
268435080,Trento,15,38122,Piazza Giovanni Battista Garzetti,,,,Trattoria Al Mercato,yes,,,,,,,,,,R30,restaurant
268435081,Trento,20,38122,Prima Androna di Borgo Nuovo,info@3portoni.it,+39 0461 261375,fish;pizza,Borgo Nuovo Trento,yes,IT01917760223,http://3portoni.it/,,,,,,,,R31,restaurant
269193730,Trento,13,38122,Piazza di Fiera,info@birreriapedavena.com,+39 0461 986255,,Birreria Pizzeria Pedavena,yes,IT01401290224,http://www.birreriapedavena.com,"Mo,We 09:00-24:00; Tu 00:00-00:30; Th,Fr 00:00-00:30,09:00-24:00; Sa,Su 00:00-01:00,09:00-24:00",limited,,,,,,R32,restaurant
269193732,Trento,16,38122,Via Santa Croce,trattoria_al_volt@yahoo.it,+39 0461 983776,italian,Trattoria al Volt,,,http://tienne.it/alvolt/,"12:00-15:00,19:30-24:00",no,,,,,,R33,restaurant
